keys,zh,en,cht,yue,wyw,jp,kor,spa,fra,th,ara,ru,pt,de,it,el,nl,pl,bul,est,dan,fin,cs,rom,slo,swe,hu,vie
PROJECT_INFO,本项目本身是学习项目，采用MIT协议，你可以拿取和改变任何代码和通过各种渠道给我提各种意见，非常感谢你的交流与关注。,This project is a learning project under MIT license. You can take and modify any code and provide feedback through various channels. Thank you for your communication and attention.,這個項目是麻省理工學院授權的學習項目。 您可以獲取和修改任何程式碼，並通過各種管道提供迴響。 感謝您的溝通和關注。,呢个项目系麻省理工学院授权嘅学习项目。你可以获取同修改任何代码，并通过各种渠道讲吓嘢喇！反馈。多谢你嘅沟通同埋关心。,此项目，麻省理学者也。君可要与改涉。而通诸渠。谢君之通意。,このプロジェクトはMITのライセンス下の学習プロジェクトです。あらゆるコードを取り入れ、変更し、様々なチャネルを通じてフィードバックを提供することができます。コミュニケーションと注目ありがとうございます。,이 프로젝트는 MIT 라이선스의 학습 프로젝트입니다.모든 코드를 수정하고 다양한 채널을 통해 피드백을 제공할 수 있습니다.커뮤니케이션과 관심을 주셔서 감사합니다.,Este proyecto es un proyecto de aprendizaje bajo licencia del MIT. Puede tomar y modificar cualquier código y proporcionar comentarios a través de varios canales. Gracias por su comunicación y atención.,Ce projet est un projet d'apprentissage sous licence du MIT. Vous pouvez prendre et modifier n'importe quel code et fournir des commentaires via différents canaux. Merci pour votre communication et votre attention.,โครงการนี้เป็นโครงการเรียนรู้ภายใต้ใบอนุญาตของ MIT คุณสามารถใช้และแก้ไขรหัสใด ๆ และให้ความคิดเห็นผ่านช่องทางต่างๆ ขอบคุณสำหรับการสื่อสารและความสนใจของคุณ,هذا المشروع هو مشروع تعليمي تحت رخصة معهد ماساتشوستس للتكنولوجيا. يمكنك أخذ وتعديل أي رمز وتقديم ردود الفعل من خلال قنوات مختلفة. شكراً على اتصالك واهتمامك,Этот проект является учебным проектом под лицензией MIT. Вы можете взять и модифицировать любой код и предоставлять обратную связь через различные каналы. Спасибо за общение и внимание.,Este projeto é um projeto de aprendizagem sob licença do MIT. Você pode pegar e modificar qualquer código e fornecer feedback através de vários canais. Obrigado pela sua comunicação e atenção.,Dieses Projekt ist ein Lernprojekt unter MIT-Lizenz. Sie können jeden Code nehmen und ändern und Feedback über verschiedene Kanäle geben. Vielen Dank für Ihre Kommunikation und Aufmerksamkeit.,Questo progetto è un progetto di apprendimento sotto licenza MIT. Puoi prendere e modificare qualsiasi codice e fornire feedback attraverso vari canali. Grazie per la vostra comunicazione e attenzione.,Αυτό το έργο είναι ένα έργο μάθησης υπό άδεια του MIT. Μπορείτε να λάβετε και να τροποποιήσετε οποιονδήποτε κώδικα και να παρέχετε ανατροφοδότηση μέσω διαφόρων καναλιών. Σας ευχαριστώ για την επικοινωνία και την προσοχή σας.,Dit project is een leerproject onder MIT licentie. U kunt elke code aannemen en wijzigen en feedback geven via verschillende kanalen. Bedankt voor uw communicatie en aandacht.,Ten projekt jest projektem edukacyjnym pod licencją MIT. Możesz pobierać i modyfikować dowolny kod i dostarczać opinie za pośrednictwem różnych kanałów. Dziękuję za komunikację i uwagę.,Този проект е учебен проект под лиценз на MIT. Можете да вземете и променяте всеки код и да предоставяте обратна връзка чрез различни канали. Благодаря ви за комуникацията и вниманието.,See projekt on õppeprojekt MIT litsentsi all. Võite võtta ja muuta mis tahes koodi ja anda tagasisidet erinevate kanalite kaudu. Aitäh suhtluse ja tähelepanu eest.,Dette projekt er et læringsprojekt under MIT licens. Du kan tage og ændre enhver kode og give feedback gennem forskellige kanaler. Tak for din kommunikation og opmærksomhed.,Tämä hanke on oppimishanke MIT-lisenssillä. Voit ottaa ja muokata mitä tahansa koodia ja antaa palautetta eri kanavien kautta. Kiitos viestinnästänne ja huomiostanne.,Tento projekt je výukový projekt pod licencí MIT. Můžete si vzít a upravit jakýkoliv kód a poskytnout zpětnou vazbu prostřednictvím různých kanálů. Děkujeme za komunikaci a pozornost.,Acest proiect este un proiect de învățare sub licență MIT. Puteți lua și modifica orice cod și oferi feedback prin diferite canale. Vă mulţumesc pentru comunicare şi atenţie.,Ta projekt je učni projekt pod licenco MIT. Vzemite in spremenite lahko katero koli kodo in posredujete povratne informacije preko različnih kanalov. Hvala za vašo komunikacijo in pozornost.,Detta projekt är ett lärande projekt under MIT-licens. Du kan ta och ändra vilken kod som helst och ge feedback via olika kanaler. Tack för din kommunikation och uppmärksamhet.,"Ez a projekt egy tanulási projekt MIT licenc alatt. Bármilyen kódot felvehet és módosíthat, és különböző csatornákon keresztül visszajelzést adhat. Köszönöm a kommunikációt és a figyelmet.",Dự án này là một dự án học tập dưới giấy phép MIT. Bạn có thể lấy và sửa đổi bất kỳ mã nào và cung cấp phản hồi thông qua các kênh khác nhau. Cảm ơn bạn đã liên lạc và chú ý.
THANKS_MESSAGE,谢谢你玩我的做游戏，虽然它现在不好玩，哈哈，总之，非常感谢!!!,Thank you for playing my game. Although it's not fun now haha anyway thank you very much!!!,謝謝你玩我的遊戲。 雖然現在不好玩哈哈，但還是非常感謝！！！,多谢你玩我嘅游戏。虽然而家唔好玩哈哈，但系都系唔该晒！！！,谢尔戏我。虽今不好弄，甚谢！,私のゲームをプレイしてくれてありがとうございます。今は楽しくないけど、ありがとうございました！！！,내 게임을 해주셔서 감사합니다.지금 재미가 없지만 하하 어떻게든 감사합니다!!!,Gracias por jugar mi juego. Aunque no es divertido ahora haha de todos modos muchas gracias!!!,Merci de jouer à mon jeu. Bien que ce ne soit pas amusant maintenant haha de toute façon merci beaucoup !!!,ขอบคุณที่เล่นเกมของฉัน แม้ว่ามันจะไม่สนุกตอนนี้ haha อย่างไรก็ตามขอบคุณมาก!!!,شكراً على لعب لعبتي على الرغم من أنها ليست ممتعة الآن هاها على أي حال شكرا جزيلا!!!,"Спасибо, что играли в мою игру. Хотя сейчас это не весело, в любом случае спасибо большое!!!",Obrigado por jogar meu jogo. Embora não seja divertido agora haha de qualquer forma muito obrigado!!!,"Danke, dass du mein Spiel gespielt hast. Obwohl es nicht Spaß jetzt haha trotzdem vielen Dank!!!",Grazie per aver giocato il mio gioco. Anche se non è divertente ora haha comunque grazie mille!!!,Ευχαριστώ που παίζεις το παιχνίδι μου. Αν και δεν είναι διασκεδαστικό τώρα haha οπωσδήποτε σας ευχαριστώ πολύ!!!,Bedankt voor het spelen van mijn spel. Hoewel het nu niet leuk is haha toch heel erg bedankt!!!,"Dziękuję, że grałeś w moją grę. Chociaż to nie jest zabawa teraz haha i tak dziękuję bardzo!!!","Благодаря, че си играл моята игра. Въпреки че не е забавно сега хаха все пак благодаря много!!!","Tänan, et minu mängu mängisid. Kuigi see ei ole lõbus nüüd haha igal juhul tänan väga!!!",Tak for at spille mit spil. Selvom det ikke er sjovt nu haha alligevel tak meget!!!,"Kiitos, että pelasit peliäni. Vaikka se ei ole hauskaa nyt haha joka tapauksessa kiitos paljon!!!","Děkuji, že jsi hrál mou hru. Ačkoli to není zábava teď haha stejně děkuji moc!!!",Mulţumesc că mi-ai jucat jocul. Deși nu este distractiv acum haha oricum mulțumesc foarte mult!!!,"Hvala, ker ste igrali mojo igro. Čeprav zdaj ni zabavno haha vseeno hvala lepa!!!",Tack för att du spelar mitt spel. Även om det inte är roligt nu haha ändå tack så mycket!!!,"Köszönöm, hogy játszottad a játékomat. Bár most már nem szórakoztató haha mindenesetre nagyon köszönöm!!!",Cảm ơn bạn đã chơi trò chơi của tôi. Mặc dù nó không vui bây giờ haha dù sao cảm ơn bạn rất nhiều!!!
LOADING,加载中,Loading,附加費用,无附加使费,附加费。,ロード中,로딩 중,Cargando,Chargement,กำลังโหลด,تحميل,Загрузка,Carregando,Laden,Caricamento,Φόρτωση,In het laden,Ładowanie,Зареждане,Laadimine,Indlæsning,Lataaminen,Načítání,Încărcare,Nalaganje,Laddar,Betöltés,Đang tải
SKILL_AREA_BURNING_EFFECT_DESC,攻击附带燃烧持续伤害,Attack with accompanying burning sustained damage,攻擊附帶燃燒持續傷害,攻击附带燃烧持续伤害,攻之附火横伤,攻撃に燃焼持続ダメージが付く,공격 부대 연소 지속 데미지,Daño continuo por combustión colateral en el ataque,Dégâts persistants brûlés collatéraux à l'attaque,โจมตี เสริมความเสียหาย ต่อเนื่อง Burning,الهجوم مع حرق الضرر المستمر,Непрерывное горение при атаке,Dano contínuo de queima ao ataque,Angriff mit Nebenbrennung Dauerschäden,Dano continuo da bruciare in attacco,Συνεχής καύση επίθεσης,Aanvallen bijbrandende voortdurende schade,Ciągłe obrażenia związane z paleniem podczas ataku,Продължаващи щети при нападение при изгаряне,Püsiv kahju rünnakuga kaasneva põlemisega,Vedvarende skade ved angreb ved brænding,Hyökkäyksen ohella palava jatkuva vahinko,Pokračující poškození při pálení při útoku,Damajul continuu al arsurii aferente atacului,Napad s spremljajočim gorenjem utrjena poškodba,Kontinuerlig skada vid attacker,Támadással járó égés folyamatos sérülés,Tấn công Collateral Burn Sát thương liên tục
SKILL_AREA_BURNING_EFFECT_NAME,燃烧效果,combustion effect,燃燒效果,燃烧效果,然熯,ねんしょうこうか,연소 효과,Efecto de combustión,Effet de combustion,ผลการเผาไหม้,تأثير الاحتراق,Эффект горения,Efeito de queima,Verbrennungseffekt,Effetto di combustione,Αποτέλεσμα καύσης,Brandeffecten,Efekt spalania,Ефект на изгарянето,Põlemise mõju,Brændingseffekt,Polttovaikutus,Účinek hoření,Efectul de ardere,učinek zgorevanja,Bränneffekt,Égési hatás,Hiệu ứng cháy
SKILL_AREA_CHAIN_REACTION_DESC,攻击可能连续攻击两次,The attack may occur twice in a row,攻擊可能連續攻擊兩次,攻击可能连续攻击两次,攻之或相攻者再。,攻撃は2回連続する可能性があります,공격 2회 연속 공격 가능,Los ataques pueden ser dos ataques consecutivos,Attaque peut attaquer deux fois de suite,การโจมตีสามารถโจมตีได้สองครั้งติดต่อกัน,قد يكون الهجوم مرتين متتاليتين .,Атака может быть дважды подряд.,Ataques podem ser realizados duas vezes seguidas.,Angriffe können zweimal in Folge angegriffen werden.,Possibilità di attaccare due volte consecutivamente,Η επίθεση μπορεί να επιτεθεί δύο φορές.,Aanvallen kunnen twee keer op rij worden aangevallen,Można zaatakować dwa razy z rzędu.,Атаката може да се извърши два пъти последователно.,Rünnakud võivad toimuda kaks korda järjest.,Angreb kan ske to gange i træk,Hyökkäys voi tapahtua kaksi kertaa peräkkäin.,Útok může probíhat dvakrát po sobě,Atacul poate fi atacat de două ori,Napad se lahko pojavi dvakrat zapored,Attacken kan ske två gånger i rad.,Kétszer egymást követő támadás,Có thể tấn công 2 lần liên tiếp.
SKILL_AREA_CHAIN_REACTION_NAME,连锁反应,chain reaction,連鎖反應,连锁反应,肃然应之。,連鎖反応,연쇄반응,Reacción en cadena,Réaction en chaîne,ปฏิกิริยาลูกโซ่,سلسلة من ردود الفعل,Цепная реакция,Reação em cadeia,Kettenreaktion,Reazione a catena,Αλυσιδωτική αντίδραση,Kettingreactie,Reakcja łańcuchowa,Верижна реакция,ahelreaktsioon,Kædereaktioner,Ketjureaktio,Řetězová reakce,Reacție în lanț,verižna reakcija,kedjoreaktion,Láncreakció,Phản ứng dây chuyền
SKILL_AREA_EXPLOSION_RADIUS_DESC,增加爆炸伤害范围,Increase the range of explosion damage,新增爆炸傷害範圍,增加爆炸伤害范围,增爆炸伤所部。,爆発ダメージの範囲を増やす,폭발 데미지 범위 증가,Aumentar el alcance de los daños causados por la explosión,Augmente la portée des dégâts d'explosion,เพิ่มระยะความเสียหายจากแรงระเบิด,زيادة نطاق الضرر المتفجرة,Увеличить диапазон повреждений от взрыва,Aumentar o alcance dos danos de explosão,Erhöhung des Explosionsschadens,Aumenta la portata dei danni da esplosione,Αυξημένη έκρηξη ζημιών,Vergroot het bereik van explosieve schade,Zwiększenie zakresu obrażeń wybuchowych,Увеличаване на експлозионните щети,Plahvatuskahju ulatuse suurendamine,Øget omfang af eksplosionskader,Räjähdysvahinkojen lisääminen,Zvýšení rozsahu poškození výbuchem,Creșterea domeniului daunelor de explozie,Povečanje obsega eksplozijskih poškodb,Ökad omfattning av explosionsskador,Robbanási sérülések növelése,Tăng phạm vi sát thương vụ nổ
SKILL_AREA_EXPLOSION_RADIUS_NAME,爆炸范围,explosion range,爆炸範圍,爆炸范围,爆炸所。,ばくはつはんい,폭발 범위,Alcance de la explosión,Gamme d'explosion,ช่วงการระเบิด,انفجار مجموعة,Диапазон взрыва,Alcance da explosão,Explosionsbereich,Gamma di esplosione,Περιοχή έκρηξης,Explosiebereik,Zakres wybuchu,Обхват на експлозията,Plahvatuse ulatus,Eksplosionens område,Räjähdysalue,Rozsah výbuchu,Domeniul exploziei,območje eksplozije,Explosionsområde,Robbanás hatóköre,Phạm vi nổ
SKILL_AREA_SPLASH_DAMAGE_DESC,增加溅射伤害倍率,Increase sputtering damage rate,新增濺射傷害倍率,增加溅射伤害倍率,增流驾而并倍。,スパッタダメージ倍率を上げる,사출 피해 배율 증가,Aumentar la tasa de daño por pulverización,Augmente le multiplicateur de dégâts de pulvérisation,เพิ่มความเสียหาย สปัตเตอร์,زيادة معدل الضرر الاخرق,Увеличить частоту повреждений при распылении,Aumentar a taxa de dano por pulverização,Erhöhung des Spritzschadens,Aumenta il danno da sputtering,Αύξηση του ποσοστού βλάβης από σπατσάρισμα,Verhoogde schade van sputtering,Zwiększenie wielkości obrażeń przez rozpylanie,Увеличаване на щетите от пръскване,Suurendada purustamise kahju,Øge størrelsen af sputterskader,Lisää sputtering vahinkoja,Zvýšení poškození stříkáním,Creșterea ratei de daune sputtering,Povečaj stopnjo poškodb zaradi prhanja,Öka sprittskador,Növelje a sputtering károsodás arányát,Tăng tỷ lệ thiệt hại phún xạ
SKILL_AREA_SPLASH_DAMAGE_NAME,溅射伤害,Splash Damage,濺射傷害,溅射伤害,流水射而伤。,スパッタダメージ,사출 피해,Daño por pulverización,Blessures par pulvérisation,ความเสียหาย Sputtering,الاخرق الضرر,Ущерб от распыления,Danos de pulverização,Spritzverletzungen,Spray lesioni,Τλαυματισμός από σπέρμα,sputtering schade,Obrażenia rozpylania,Ранения от пръскване,Sputtering kahju,Spray skader,Sputtering vahingot,Stříkání poškození,vătămări sputtering,Poškodbe zaradi škropljenja,Spray skador,Spray sérülés,Sputtering chấn thương
SKILL_BASE_CRITICAL_STRIKE_DESC,增加暴击几率和伤害,Increase critical strike probability and damage,新增暴擊幾率和傷害,增加暴击几率同伤害,增暴击数帅。,致命的な一撃の確率とダメージを増やす,치명타 확률과 데미지 증가,Aumentar las probabilidades de ataque crítico y el daño,Augmente les chances de coup critique et les dégâts,เพิ่มโอกาสคริติคอลและความเสียหาย,يزيد من فرصة الضربة الحرجة والضرر,Увеличить вероятность нападения и травматизма,Aumento das chances de ataque e danos,Erhöhung der Chancen auf Angriffe und Schaden,Aumenta le probabilità di attacchi e danni,Αυξημένη πιθανότητα επιθέσεων και τραυματισμών,Verhoogde kans op aanval en schade,Zwiększenie szans na ataki i obrażenia,Повишаване на вероятността от удари и наранявания,Suurenenud rünnakute ja kahjustuste tõenäosus,Øget risiko for angreb og skader,Lisää hyökkäysmahdollisuuksia ja vahinkoja,Zvýšená pravděpodobnost útoku a poškození,Creșterea șanselor de lovitură și daune,Povečanje kritične verjetnosti udarca in poškodbe,Ökad risk för angrepp och skada,A támadás és a sérülés esélyének növelése,Tăng tỷ lệ bạo lực và thiệt hại
SKILL_BASE_CRITICAL_STRIKE_NAME,暴击强化,Critical Strike Enhancement,暴擊强化,暴击强化,暴击强化,致命的な一撃強化,치명타 강화,Refuerzo del ataque crítico,Renforcement des coups critiques,คริติคอล Fortify,ضربة قاضية تعزيز,Жестокое усиление,Fortalecimento do assalto,Angriff verstärkt,Incremento delle violenze,Ενίσχυση των επιθέσεων,Versterking van het geweld,Wzmocnienie ataku,Укрепване на атаките,Rünnaku tugevdamine,Styrkning af vold,Väkivallan vahvistaminen,Posílení útoku,Intensificarea asaltului,Izboljšanje kritičnega udarca,Förstärkning av våld,Erősített támadás,Bạo kích tăng cường
SKILL_BASE_DAMAGE_BOOST_DESC,增加基础伤害,Increase basic damage,新增基礎傷害,增加基础伤害,益为基所伤，,ベースダメージを増やす,기초 데미지 증가,Aumentar el daño básico,Augmente les dégâts de base,เพิ่มความเสียหายพื้นฐาน,زيادة الضرر الأساسي,Увеличение базового вреда,Aumentar o dano básico,Erhöhung des Grundschadens,Aumenta il danno di base,Αύξηση της βασικής ζημίας,Basisschade verhogen,Zwiększenie obrażeń podstawowych,Повишаване на основните щети,Suurendada põhikahjustusi,Øget grundlæggende skade,Lisää perustavarvoja,Zvýšení základního poškození,Creșterea daunelor de bază,Povečanje osnovne škode,Öka grundläggande skador,Az alapvető sérülés növelése,Tăng thiệt hại cơ bản
SKILL_BASE_DAMAGE_BOOST_NAME,伤害强化,Damage Enhancement,傷害强化,伤害强化,伤强化,ダメージ強化,데미지 강화,Fortalecimiento del daño,Renforcement des blessures,เสริมความเสียหาย,تعزيز الضرر,Повреждение усиливается,Fortalecimento da lesão,Schadensverstärkung,Renforzo dei danni,Ενίσχυση τραυματισμών,Schade versterking,Wzmocnienie obrażeń,Укрепване на нараняванията,Kahju tugevdamine,Skade forstærkelse,Vauvojen vahvistaminen,Posilování zranění,Consolidarea leziunilor,Povečanje škode,Förstärkning av skador,sérülés erősítése,Tăng cường thiệt hại
SKILL_BASE_FIRE_RATE_BOOST_DESC,增加攻击速度,Increased Attack Speed,新增攻擊速度,增加攻击速度,增行益急攻之。,攻撃速度を上げる,공격 속도 증가,Aumentar la velocidad de ataque,Augmenter la vitesse d'attaque,เพิ่มความเร็วในการโจมตี,زيادة سرعة الهجوم,Увеличить скорость атаки,Aumentar a velocidade de ataque,Angriffsgeschwindigkeit erhöhen,Aumenta la velocità di attacco,Αυξήστε την ταχύτητα επίθεσης,Verhoogde aanvalsnelheid,Zwiększenie prędkości ataku,Увеличаване на скоростта на атаката,Suurenda rünnaku kiirust,Øge angrebshastigheden,Lisää hyökkäyksen nopeutta,Zvýšení rychlosti útoku,Crește viteza de atac,Povečana hitrost napada,Öka attackhastigheten,Növelje a támadás sebességét,Tăng tốc độ tấn công
SKILL_BASE_FIRE_RATE_BOOST_NAME,攻速强化,Attack speed enhancement,攻速强化,攻速强化,速劲化,タッピング強化,공격 속도 강화,Refuerzo de la velocidad de ataque,Renforcement de la vitesse d'attaque,เพิ่มความเร็วในการโจมตี,تعزيز سرعة الهجوم,Скоростное усиление,Fortalecimento da velocidade de ataque,Angriffsgeschwindigkeit verstärkt,Miglioramento della velocità,Ενίσχυση ταχύτητας επίθεσης,Aanval snelheid versterken,Zwiększenie prędkości ataku,Усилване на скоростта на атаката,Kiiruse tugevdamine,Angrebshastigning,Hyökkäysnopeus vahvistettu,Posílení rychlosti útoku,Accelerarea vitezei,Povečanje hitrosti napada,Hastighetsförstärkning,Támadási sebesség,Tăng cường tốc độ tấn công
SKILL_BASE_RANGE_BOOST_DESC,增加攻击范围,Increase attack range,新增攻擊範圍,增加攻击范围,增击其所司，加攻执政。,攻撃範囲を増やす,공격 범위 증가,Aumentar el alcance de los ataques,Augmenter la portée des attaques,เพิ่มช่วงการโจมตี,زيادة نطاق الهجوم,Увеличить дальность атаки,Aumentar o alcance do ataque,Angriffsbereich erhöhen,Aumenta la portata degli attacchi,Αύξηση πεδίου επίθεσης,Vergroot het bereik van de aanval,Zwiększenie zakresu ataku,Увеличаване на обхвата на атаката,Rünnakute ulatuse suurendamine,Øge angrebet,Lisää hyökkäysaluetta,Zvýšení rozsahu útoku,Crește domeniul de atac,Povečaj doseg napada,Öka angreppsområdet,A támadás terjedelmének növelése,Tăng phạm vi tấn công
SKILL_BASE_RANGE_BOOST_NAME,射程强化,Range enhancement,射程强化,射程强化,射强化,射程強化,사정거리 강화,Refuerzo del alcance,Renforcement de la portée,การเสริมสร้างช่วง,مجموعة تعزيز,Усиление дальности,Fortalecimento do alcance,Reichweite verstärkt,Rafforzamento della portata,Ενίσχυση εμβέλειας,Verbetering van het bereik,Wzmocnienie zasięgu,Укрепване на обхвата,Piirkonna tugevdamine,Styrkning af rækkevidde,Etäisyyden vahvistaminen,Zvýšení dosahu,Întărirea domeniului,Izboljšanje obsega,Förstärkning av räckvidd,Távolság erősítése,Tăng cường phạm vi
SKILL_BIG_AREA_ARMOR_PIERCE_DESC,无视敌人部分护甲,Ignore some of the enemy's armor,無視敵人部分護甲,无视敌人地方护甲,无人视敌者护甲,敵のガードレールの一部を無視する,적의 일부 호갑을 무시하다,Ignorar parte de la armadura del enemigo,Ignorer l'armure partielle de l'ennemi,ไม่สนใจเกราะบางส่วนของศัตรู,تجاهل جزء من درع العدو,Игнорирование части доспехов противника.,Ignorar a armadura parcial do inimigo,Teilrüstung des Feindes ignorieren,Ignorare parte dell'armatura nemica,Αγνοήστε μερικές θωρακίσεις του εχθρού,Negeer vijandelijke gedeeltelijke pantsers,Ignorowanie częściowej pancerze wroga,Игнориране на част от бронията на врага,Ignoreeri vaenlase osa rüüst,Ignorere fjendens delvis rustning,Vihollisen osan panssareista jättäminen huomiotta,Ignorovat částečné brnění nepřítele,Ignoraţi armura parţială a duşmanului,Ignoriraj sovražnikov oklep.,Ignorera fiendens delvis rustning,Figyelmen kívül hagyja az ellenség részleges páncélját,Bỏ qua một phần giáp của địch
SKILL_BIG_AREA_ARMOR_PIERCE_NAME,破甲攻击,Sunder Armor,破甲攻擊,破甲攻击,破甲击之。,破甲攻撃,파갑 공격,Ataque de armadura rota,Attaque brisée,การโจมตีเกราะแตก,درع الهجوم,Бронебойная атака,Ataque quebrador,Panzerangriff,Attacco armato,Επίθεση τεθωρακισμού,Panzerbrekende aanval,Atak zbrojny,Бронирана атака,Rünnakud,Panserbrud angreb,Panssari hyökkäys,Zlomený útok,Atac cu armură,Sunderjeva oklepa,Panserad attack,Páncéltörő támadás,Phá giáp tấn công
SKILL_BIG_AREA_EARTHQUAKE_DESC,攻击造成地震效果,Attack causes earthquake effect,攻擊造成地震效果,攻击造成地震效果,击为地震效。,攻撃による地震効果,공격으로 인한 지진 효과,Los ataques causan efectos sísmicos,L'attaque provoque un effet sismique,การโจมตีส่งผลต่อแผ่นดินไหว,تأثير الزلازل الناجمة عن الهجوم,Атака привела к сейсмическому эффекту,Ataques causam efeitos sísmicos,Angriff verursacht Erdbeben,Attacco provoca effetti sismici,Οι επιθέσεις προκαλούν σεισμό,Aanvallen veroorzaken aardbeving,Atak spowodował trzęsienie ziemi,Атаката предизвика земетресение,Rünnakud põhjustasid maavärinat,Angrebet forårsager jordskælv,Hyökkäys aiheutti maanjäristyksen,Útok způsobil zemětřesení,Atacul a provocat cutremure,Napad povzroči potresni učinek,Attacken orsakar jordbävningar,A támadás földrengést okozott,Vụ tấn công gây ra động đất.
SKILL_BIG_AREA_EARTHQUAKE_NAME,地震冲击,seismic impact,地震衝擊,地震冲击,地震冲激冲之。,じしんしょうげき,지진 충격,Choque sísmico,Choc sismique,แผ่นดินไหวช็อก,صدمة زلزالية,Сейсмический удар,Choque sísmico,Erdbebenschock,Shock sismico,Σεισμός,Aardbevingen,Trzęsienie ziemi,Земетресение,Maavärina löök,Jordskælv,Maanjäristys,Zemětřesení,Shocul cutremurului,potresni vpliv,Jordbävning,földrengés,Động đất sốc
SKILL_BIG_AREA_MASSIVE_EXPLOSION_DESC,大幅增加爆炸范围和伤害,Significantly increase the explosion range and damage,大幅增加爆炸範圍和傷害,大幅增加爆炸范围同伤害,大幅加爆炸、伤人。,爆発範囲とダメージを大幅に増加,폭발 범위와 데미지를 대폭 증가,Aumentar sustancialmente el alcance de las explosiones y los daños,Augmente considérablement la portée des explosions et des blessures,เพิ่มระยะการระเบิดและความเสียหายอย่างมาก,زيادة كبيرة في نطاق الانفجار والأضرار,Значительное увеличение масштабов взрыва и повреждений,Aumento substancial do alcance da explosão e danos,Explosionsbereich und Schaden erheblich erhöht,Aumenta drasticamente la portata dell'esplosione e i danni,Σημαντική αύξηση του εύρους έκρηξης και των τραυματισμών,Drastisch verhoogd explosiebereik en schade,Znacznie zwiększony zasięg wybuchu i obrażenia,Значително увеличаване на обхвата на експлозията и щетите,Plahvatuse ulatuse ja kahjustuste märkimisväärne suurendamine,Væsentligt øget eksplosionsrækkevidde og skader,Räjähdysalue ja vahingot suurentuvat merkittävästi,Výrazné zvýšení rozsahu výbuchu a poškození,Creșterea semnificativă a domeniului de explozie și a daunelor,Znatno povečajte obseg eksplozije in poškodbe,Markant ökad explosionsräckvidd och skador,Jelentősen növeli a robbanás hatókörét és a sérüléseket,Tăng đáng kể phạm vi vụ nổ và thương tích
SKILL_BIG_AREA_MASSIVE_EXPLOSION_NAME,巨型爆炸,Giant explosion,巨型爆炸,巨型爆炸,巨烈炸。,マンモス爆発,대형 폭발,Explosión gigante,Explosion géante,ระเบิดยักษ์,انفجار ضخم,Гигантский взрыв,Explosão gigante,Riesige Explosion,Una gigantesca esplosione,Μεγάλη έκρηξη,De enorme explosie,Wielki wybuch,Гигантска експлозия,Suur plahvatus,kæmpe eksplosion,Jättimäinen räjähdys,Obrovský výbuch.,Explozii gigantice,Velika eksplozija,Stora explosioner,óriási robbanás,Lớn Bang
SKILL_FAST_ATTACK_SPEED_DESC,大幅增加攻击速度,Significantly increase attack speed,大幅增加攻擊速度,大幅增加攻击速度,大幅增攻速。,攻撃速度を大幅に増加,공격 속도 대폭 증가,Aumentar sustancialmente la velocidad de ataque,Augmenter considérablement la vitesse d'attaque,เพิ่มความเร็วในการโจมตีอย่างมาก,زيادة كبيرة في سرعة الهجوم,Значительно увеличить скорость атаки,Aumentar significativamente a velocidade de ataque,erheblich erhöhte Angriffsgeschwindigkeit,Aumenta notevolmente la velocità di attacco,Σημαντική αύξηση της ταχύτητας επίθεσης,Drastisch verhoogde aanvalsnelheid,Znacznie zwiększyć prędkość ataku,Значително увеличаване на скоростта на атаката,Rünnaku kiiruse suurendamine,Stærkt øget angrebshastighed,Lisää hyökkäyksen nopeutta,Výrazně zvýšit rychlost útoku,Creştere semnificativă a vitezei de atac,Znatno povečanje hitrosti napada,Markant ökad attack hastighet,Jelentősen növeli a támadás sebességét,Tăng tốc độ tấn công
SKILL_FAST_ATTACK_SPEED_NAME,极速射击,Rapid shooting,極速射擊,极速射击,颇速射之。,極速射撃,극속사격,Tiro de velocidad,Tir à vitesse extrême,ยิงเร็ว,مطلق النار,Стрельба на большой скорости,Tiro extremamente rápido,Schnellschießen,Sparatori estremamente veloci,Ταχύτητα πυροβολισμού,Extrem snel schieten,Szybkie strzelanie,Стрелба с изключителна скорост,Kiire tulistamine,Ekstrem hurtig skydning,Nopea ampuminen,Extrémně rychlá střelba,Împuşcare rapidă,Hitro streljanje,Extrem snabb skjutning,Gyors lövés,Bắn cực nhanh.
